First Name,Last Name,Month,Day,Year,Occasion
Menachem,Schneerson,Nisan,11,5662,Birthday
Menachem,Schneerson,Tamuz,3,5754,Passing
Menachem,Schneerson,Kislev,14,5688,Anniversary
Alter,Rebbe,Tevet,24,5573,Passing
Tzemach,Tzedek,Elul,29,5549,Birthdays
